Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1961,1961,tonnes,1850,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1962,1962,tonnes,1900,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1963,1963,tonnes,1880,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1964,1964,tonnes,2100,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1965,1965,tonnes,1700,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1966,1966,tonnes,1450,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1967,1967,tonnes,823,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1968,1968,tonnes,1850,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1969,1969,tonnes,1430,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1970,1970,tonnes,2100,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1971,1971,tonnes,2560,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1972,1972,tonnes,2660,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1973,1973,tonnes,4000,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1974,1974,tonnes,3480,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1975,1975,tonnes,4140,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1976,1976,tonnes,4300,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1977,1977,tonnes,3400,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1978,1978,tonnes,4700,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1979,1979,tonnes,4600,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1980,1980,tonnes,5400,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1981,1981,tonnes,6000,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1982,1982,tonnes,5750,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1983,1983,tonnes,5300,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1984,1984,tonnes,5600,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1985,1985,tonnes,5300,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1986,1986,tonnes,5100,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1987,1987,tonnes,7450,,Official data
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1988,1988,tonnes,7500,F,FAO estimate
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1989,1989,tonnes,7600,F,FAO estimate
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1990,1990,tonnes,7201,Im,FAO data based on imputation methodology
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1991,1991,tonnes,7700,F,FAO estimate
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1992,1992,tonnes,7598,Im,FAO data based on imputation methodology
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1993,1993,tonnes,8000,F,FAO estimate
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1994,1994,tonnes,8100,F,FAO estimate
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1995,1995,tonnes,8200,F,FAO estimate
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1996,1996,tonnes,8300,F,FAO estimate
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1997,1997,tonnes,8356,Im,FAO data based on imputation methodology
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1998,1998,tonnes,8426,Im,FAO data based on imputation methodology
QC,Crops,9,Argentina,5510,Production,544,Strawberries,1999,1999,tonnes,8500,F,FAO estimate
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2000,2000,tonnes,8667,Im,FAO data based on imputation methodology
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2001,2001,tonnes,8824,Im,FAO data based on imputation methodology
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2002,2002,tonnes,9000,F,FAO estimate
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2003,2003,tonnes,8956,Im,FAO data based on imputation methodology
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2004,2004,tonnes,8833,F,FAO estimate
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2005,2005,tonnes,8911,Im,FAO data based on imputation methodology
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2006,2006,tonnes,8850,F,FAO estimate
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2007,2007,tonnes,9000,F,FAO estimate
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2008,2008,tonnes,10170,Im,FAO data based on imputation methodology
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2009,2009,tonnes,11234,Im,FAO data based on imputation methodology
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2010,2010,tonnes,12500,F,FAO estimate
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2011,2011,tonnes,12723,Im,FAO data based on imputation methodology
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2012,2012,tonnes,13200,F,FAO estimate
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2013,2013,tonnes,13308,Im,FAO data based on imputation methodology
QC,Crops,9,Argentina,5510,Production,544,Strawberries,2014,2014,tonnes,12605,Im,FAO data based on imputation methodology
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1975,1975,tonnes,140,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1976,1976,tonnes,160,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1977,1977,tonnes,170,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1978,1978,tonnes,675,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1979,1979,tonnes,690,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1980,1980,tonnes,655,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1981,1981,tonnes,630,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1982,1982,tonnes,460,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1983,1983,tonnes,485,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1984,1984,tonnes,530,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1985,1985,tonnes,615,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1986,1986,tonnes,738,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1987,1987,tonnes,885,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1988,1988,tonnes,423,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1989,1989,tonnes,1010,,Official data
QC,Crops,19,Bolivia (Plurinational State of),5510,Production,544,Strawberries,1990,1990,tonnes,1080,,Official data
